date,BOGZ1FL663067003Q
1990-01-01,41977.0
1990-04-01,40022.0
1990-07-01,36722.0
1990-10-01,38809.0
1991-01-01,36867.0
1991-04-01,37562.0
1991-07-01,45059.0
1991-10-01,55066.0
1992-01-01,51227.0
1992-04-01,56332.0
1992-07-01,55840.0
1992-10-01,53474.0
1993-01-01,59775.0
1993-04-01,59048.0
1993-07-01,67376.0
1993-10-01,76123.0
1994-01-01,77033.0
1994-04-01,76103.0
1994-07-01,72568.0
1994-10-01,75051.0
1995-01-01,69850.0
1995-04-01,68742.0
1995-07-01,77352.0
1995-10-01,78593.0
1996-01-01,89110.0
1996-04-01,89851.0
1996-07-01,86937.0
1996-10-01,94411.0
1997-01-01,101354.0
1997-04-01,110390.0
1997-07-01,127447.0
1997-10-01,131172.0
1998-01-01,140059.0
1998-04-01,151513.0
1998-07-01,149053.0
1998-10-01,152761.0
1999-01-01,160646.0
1999-04-01,183825.0
1999-07-01,185837.0
1999-10-01,227926.0
2000-01-01,264556.0
2000-04-01,244551.0
2000-07-01,250954.0
2000-10-01,206032.0
2001-01-01,174008.0
2001-04-01,180048.0
2001-07-01,240599.0
2001-10-01,181457.0
2002-01-01,177104.0
2002-04-01,154180.0
2002-07-01,137923.0
2002-10-01,134271.0
2003-01-01,146927.0
2003-04-01,231714.0
2003-07-01,206478.0
2003-10-01,165057.0
2004-01-01,173276.0
2004-04-01,187312.0
2004-07-01,183598.0
2004-10-01,220159.0
2005-01-01,218595.0
2005-04-01,218720.0
2005-07-01,224458.0
2005-10-01,204626.0
2006-01-01,219468.0
2006-04-01,224201.0
2006-07-01,227398.0
2006-10-01,255740.0
2007-01-01,253080.0
2007-04-01,298970.0
2007-07-01,251502.0
2007-10-01,261474.0
2008-01-01,299231.0
2008-04-01,248412.0
2008-07-01,331338.0
2008-10-01,142815.0
2009-01-01,120241.0
2009-04-01,134394.0
2009-07-01,153010.0
2009-10-01,179757.0
2010-01-01,175047.0
2010-04-01,190032.0
2010-07-01,197189.0
2010-10-01,214012.0
2011-01-01,245031.0
2011-04-01,237031.0
2011-07-01,213024.0
2011-10-01,193000.0
2012-01-01,209008.0
2012-04-01,202010.0
2012-07-01,207015.0
2012-10-01,215058.0
2013-01-01,231015.0
2013-04-01,236011.0
2013-07-01,227020.0
2013-10-01,242010.0
2014-01-01,239081.0
2014-04-01,268091.0
2014-07-01,274110.0
2014-10-01,258026.0
2015-01-01,258000.0
2015-04-01,263004.0
2015-07-01,243000.0
2015-10-01,228037.0
2016-01-01,223025.0
2016-04-01,234142.0
2016-07-01,248124.0
2016-10-01,225046.0
2017-01-01,241065.0
2017-04-01,257194.0
2017-07-01,260094.0
2017-10-01,290130.0
2018-01-01,306145.0
2018-04-01,299073.0
2018-07-01,302046.0
2018-10-01,275011.0
2019-01-01,268095.0
2019-04-01,278000.0
2019-07-01,280028.0
2019-10-01,286323.0
2020-01-01,300620.0
2020-04-01,281771.0
2020-07-01,333573.0
2020-10-01,411055.0
2021-01-01,470398.0
2021-04-01,494562.0
2021-07-01,513678.0
2021-10-01,517568.0
2022-01-01,519187.0
2022-04-01,466897.0
2022-07-01,458614.0
2022-10-01,381610.0
2023-01-01,370528.0
2023-04-01,380525.0
2023-07-01,401990.0
2023-10-01,397939.0
2024-01-01,433768.0
2024-04-01,451005.0
2024-07-01,451493.0
2024-10-01,485515.0
